container_index,title,text,image_url,all_images,status,link,all_links,advertiser,is_promoted,time_period
890,Learn how the Royal Navy transformed its procurement processes.,Promoted,No image found,[],Active,/ad-library/detail/685175496?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/685175496?trk=ad_library_ad_preview_content_image', '/ad-library/detail/685175496', '/ad-library/detail/685175496']",Apple,True,last-30-days
891,No title found,Microsoft,No image found,[],Active,No link found,[],Apple,,last-30-days
892,Learn how the Royal Navy transformed its procurement processes.,Discover how the Royal Navy transformed its procurement processes with Microsoft Power Platform.,No image found,[],Active,No link found,[],Apple,,last-30-days
893,Discover how the Royal Navy transformed its procurement processes with Microsoft Power Platform.,Discover how the Royal Navy transformed its procurement processes with Microsoft Power Platform.,No image found,[],Active,No link found,[],Apple,,last-30-days
894,Learn from leaders and success stories across industry.,Promoted,No image found,[],Active,/ad-library/detail/687202166?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/687202166?trk=ad_library_ad_preview_content_image', '/ad-library/detail/687202166', '/ad-library/detail/687202166']",Apple,True,last-30-days
895,Learn from leaders and success stories across industry.,Promoted,No image found,[],Active,/ad-library/detail/687202166?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/687202166?trk=ad_library_ad_preview_content_image', '/ad-library/detail/687202166', '/ad-library/detail/687202166']",Apple,True,last-30-days
896,No title found,Microsoft,No image found,[],Active,No link found,[],Apple,,last-30-days
897,Learn from leaders and success stories across industry.,Hear how UK leaders are using Microsoft AI powered solutions for innovation.,No image found,[],Active,No link found,[],Apple,,last-30-days
898,Hear how UK leaders are using Microsoft AI powered solutions for innovation.,Hear how UK leaders are using Microsoft AI powered solutions for innovation.,No image found,[],Active,No link found,[],Apple,,last-30-days
899,Harness AI to foster a culture of innovation,Promoted,No image found,[],Active,/ad-library/detail/687202696?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/687202696?trk=ad_library_ad_preview_content_image', '/ad-library/detail/687202696', '/ad-library/detail/687202696']",Apple,True,last-30-days
900,Harness AI to foster a culture of innovation,Promoted,No image found,[],Active,/ad-library/detail/687202696?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/687202696?trk=ad_library_ad_preview_content_image', '/ad-library/detail/687202696', '/ad-library/detail/687202696']",Apple,True,last-30-days
901,No title found,Microsoft,No image found,[],Active,No link found,[],Apple,,last-30-days
902,Harness AI to foster a culture of innovation,Harness AI to foster a culture of innovation,No image found,[],Active,No link found,[],Apple,,last-30-days
903,Cloud migration process,Promoted,No image found,[],Active,/ad-library/detail/661140994,"['/ad-library/detail/661140994', '/ad-library/detail/661140994', '/ad-library/detail/661140994', '/ad-library/detail/661140994', '/ad-library/detail/661140994']",Apple,True,last-30-days
904,Cloud migration process,Promoted,No image found,[],Active,/ad-library/detail/661140994,"['/ad-library/detail/661140994', '/ad-library/detail/661140994', '/ad-library/detail/661140994', '/ad-library/detail/661140994', '/ad-library/detail/661140994']",Apple,True,last-30-days
905,No title found,Microsoft,No image found,[],Active,No link found,[],Apple,,last-30-days
906,Learn how the Royal Navy transformed its procurement processes.,Promoted,No image found,[],Active,/ad-library/detail/687192306?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/687192306?trk=ad_library_ad_preview_content_image', '/ad-library/detail/687192306', '/ad-library/detail/687192306']",Apple,True,last-30-days
907,Learn how the Royal Navy transformed its procurement processes.,Promoted,No image found,[],Active,/ad-library/detail/687192306?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/687192306?trk=ad_library_ad_preview_content_image', '/ad-library/detail/687192306', '/ad-library/detail/687192306']",Apple,True,last-30-days
908,No title found,Microsoft,No image found,[],Active,No link found,[],Apple,,last-30-days
909,Learn how the Royal Navy transformed its procurement processes.,Discover how the Royal Navy transformed its procurement processes with Microsoft Power Platform.,No image found,[],Active,No link found,[],Apple,,last-30-days
910,Discover how the Royal Navy transformed its procurement processes with Microsoft Power Platform.,Discover how the Royal Navy transformed its procurement processes with Microsoft Power Platform.,No image found,[],Active,No link found,[],Apple,,last-30-days
911,O documento aborda seis etapas da migração para a nuvem.,Promoted,No image found,[],Active,/ad-library/detail/661130804,"['/ad-library/detail/661130804', '/ad-library/detail/661130804', '/ad-library/detail/661130804', '/ad-library/detail/661130804', '/ad-library/detail/661130804']",Apple,True,last-30-days
912,O documento aborda seis etapas da migração para a nuvem.,Promoted,No image found,[],Active,/ad-library/detail/661130804,"['/ad-library/detail/661130804', '/ad-library/detail/661130804', '/ad-library/detail/661130804', '/ad-library/detail/661130804', '/ad-library/detail/661130804']",Apple,True,last-30-days
913,No title found,Microsoft,No image found,[],Active,No link found,[],Apple,,last-30-days
914,Learn from leaders and success stories across industry.,Promoted,No image found,[],Active,/ad-library/detail/687211616?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/687211616?trk=ad_library_ad_preview_content_image', '/ad-library/detail/687211616', '/ad-library/detail/687211616']",Apple,True,last-30-days
915,Learn from leaders and success stories across industry.,Promoted,No image found,[],Active,/ad-library/detail/687211616?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/687211616?trk=ad_library_ad_preview_content_image', '/ad-library/detail/687211616', '/ad-library/detail/687211616']",Apple,True,last-30-days
916,No title found,Microsoft,No image found,[],Active,No link found,[],Apple,,last-30-days
917,Learn from leaders and success stories across industry.,Hear how UK leaders are using Microsoft AI powered solutions for innovation.,No image found,[],Active,No link found,[],Apple,,last-30-days
918,Hear how UK leaders are using Microsoft AI powered solutions for innovation.,Hear how UK leaders are using Microsoft AI powered solutions for innovation.,No image found,[],Active,No link found,[],Apple,,last-30-days
919,Harness AI to foster a culture of innovation,Promoted,No image found,[],Active,/ad-library/detail/687212066?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/687212066?trk=ad_library_ad_preview_content_image', '/ad-library/detail/687212066', '/ad-library/detail/687212066']",Apple,True,last-30-days
